Elements_In_Peaks	Elements_In_Cores	Elements_Outside_Cores
4251	637	3614
4606	652	3954
4442	595	3847
4639	674	3965
4554	642	3912
4658	631	4027
4585	656	3929
4864	665	4199
4759	657	4102
4642	710	3932
5004	662	4342
4806	705	4101
4747	683	4064
4811	632	4179
4863	693	4170
4311	576	3735
4806	684	4122
4633	681	3952
4611	669	3942
4694	698	3996
4841	616	4225
4800	699	4101
4918	646	4272
4867	682	4185
4747	737	4010
4540	605	3935
4757	648	4109
4812	761	4051
4771	770	4001
4763	604	4159
5144	696	4448
4820	658	4162
4641	606	4035
4644	665	3979
4391	657	3734
4431	629	3802
4384	587	3797
5036	706	4330
4540	643	3897
4627	649	3978
4524	681	3843
4635	593	4042
4887	678	4209
4743	680	4063
4607	628	3979
4656	663	3993
4753	661	4092
4595	719	3876
4280	598	3682
4461	641	3820
4586	640	3946
4691	639	4052
4686	639	4047
4648	626	4022
4854	661	4193
4773	642	4131
4494	659	3835
4839	683	4156
4522	625	3897
4165	564	3601
4505	695	3810
4642	717	3925
4698	641	4057
4449	626	3823
4683	625	4058
4671	726	3945
4960	627	4333
4378	602	3776
4701	612	4089
4737	641	4096
4641	679	3962
4900	671	4229
4572	669	3903
4638	659	3979
4780	658	4122
4857	675	4182
4904	762	4142
4619	613	4006
4673	643	4030
4720	702	4018
4638	747	3891
4728	619	4109
4647	682	3965
5107	680	4427
4863	679	4184
4722	681	4041
4613	647	3966
4860	641	4219
4643	646	3997
4756	611	4145
4880	661	4219
4662	696	3966
4674	626	4048
4766	711	4055
4504	662	3842
4412	631	3781
4411	598	3813
4834	666	4168
4670	572	4098
4526	631	3895
4579	676	3903
4721	659	4062
4648	638	4010
4545	622	3923
4237	602	3635
4650	655	3995
4433	711	3722
4826	704	4122
4441	671	3770
4810	672	4138
4779	686	4093
4689	695	3994
4766	708	4058
4387	590	3797
4358	607	3751
4740	707	4033
4633	678	3955
4662	702	3960
4434	703	3731
4545	598	3947
4370	616	3754
4770	599	4171
4824	740	4084
4658	655	4003
4597	666	3931
4853	713	4140
4739	622	4117
4434	635	3799
4531	696	3835
4476	644	3832
4742	660	4082
4523	616	3907
4618	661	3957
4500	647	3853
4606	598	4008
4734	661	4073
4843	672	4171
4516	651	3865
4589	615	3974
4810	691	4119
4476	575	3901
4499	638	3861
4631	628	4003
4897	666	4231
4884	745	4139
4698	627	4071
4792	678	4114
4236	638	3598
4942	669	4273
4734	578	4156
4626	688	3938
5101	708	4393
4799	766	4033
4930	685	4245
4674	659	4015
4513	697	3816
4571	676	3895
4698	606	4092
4751	700	4051
4717	653	4064
4370	603	3767
4957	626	4331
4750	684	4066
4651	723	3928
4415	599	3816
5067	719	4348
4497	719	3778
4640	688	3952
4302	661	3641
4424	638	3786
4717	702	4015
4307	619	3688
4615	658	3957
4963	677	4286
4408	667	3741
4851	653	4198
4655	616	4039
4481	668	3813
4889	711	4178
4842	663	4179
4510	616	3894
4690	665	4025
4599	678	3921
4473	645	3828
4860	744	4116
4971	679	4292
4609	634	3975
4593	671	3922
4807	660	4147
4742	581	4161
5070	615	4455
4417	635	3782
4412	600	3812
4731	622	4109
4606	662	3944
4610	610	4000
4979	746	4233
4927	755	4172
4638	677	3961
4950	690	4260
4296	597	3699
4535	568	3967
4594	679	3915
4813	663	4150
4871	606	4265
4864	747	4117
4859	629	4230
4532	636	3896
4532	627	3905
5004	712	4292
4732	658	4074
4499	650	3849
4608	710	3898
4758	679	4079
4533	705	3828
4848	735	4113
4356	656	3700
4713	618	4095
4625	656	3969
4701	672	4029
4142	647	3495
4786	637	4149
4623	717	3906
4756	718	4038
4878	655	4223
4693	625	4068
4820	682	4138
4873	648	4225
4635	672	3963
4866	659	4207
4781	614	4167
4544	568	3976
4340	604	3736
4534	751	3783
4656	666	3990
4642	701	3941
5061	706	4355
4558	624	3934
4795	709	4086
4857	698	4159
4497	580	3917
4924	698	4226
4693	642	4051
4273	650	3623
5060	677	4383
4618	706	3912
4667	712	3955
4468	679	3789
4689	707	3982
4583	670	3913
4842	661	4181
4650	634	4016
4366	616	3750
4279	671	3608
4565	695	3870
4463	625	3838
4729	684	4045
4908	638	4270
4563	638	3925
4785	759	4026
4433	669	3764
4481	678	3803
4867	690	4177
4532	643	3889
4808	709	4099
4845	660	4185
4883	748	4135
4640	681	3959
4537	623	3914
4255	583	3672
4693	681	4012
4298	654	3644
4574	643	3931
4578	618	3960
4614	673	3941
4618	710	3908
4620	694	3926
4870	733	4137
4581	683	3898
4833	646	4187
4543	571	3972
4607	712	3895
4750	709	4041
4798	735	4063
4745	671	4074
4703	666	4037
4855	699	4156
4974	585	4389
4736	686	4050
4935	657	4278
4426	626	3800
4572	596	3976
4679	646	4033
4955	656	4299
4701	718	3983
4944	611	4333
4750	706	4044
4928	695	4233
4398	642	3756
4449	692	3757
4517	704	3813
4481	618	3863
4758	654	4104
4522	743	3779
4538	650	3888
4232	584	3648
4231	563	3668
4315	587	3728
4872	705	4167
4592	636	3956
4560	591	3969
5100	712	4388
4418	600	3818
4305	621	3684
4762	675	4087
4682	699	3983
4836	608	4228
4529	618	3911
4651	576	4075
4718	625	4093
4742	697	4045
4432	580	3852
4725	733	3992
4465	587	3878
4598	624	3974
4689	797	3892
4644	647	3997
4449	645	3804
4997	683	4314
4756	732	4024
4911	681	4230
4785	597	4188
4749	725	4024
4392	655	3737
4833	695	4138
4633	658	3975
4650	672	3978
4633	578	4055
4968	677	4291
5033	723	4310
4820	647	4173
4524	695	3829
5028	768	4260
5028	660	4368
4776	703	4073
4286	659	3627
4884	657	4227
4764	641	4123
4932	644	4288
4698	646	4052
4609	686	3923
4386	720	3666
4547	739	3808
4655	642	4013
4354	605	3749
4769	661	4108
4922	849	4073
4588	667	3921
4605	665	3940
4828	722	4106
5100	734	4366
4472	634	3838
4760	665	4095
4836	629	4207
4645	594	4051
4767	708	4059
4491	707	3784
4512	640	3872
5239	722	4517
4654	634	4020
4723	694	4029
4725	654	4071
4846	602	4244
4253	620	3633
4864	679	4185
4440	672	3768
4282	638	3644
4919	638	4281
4607	608	3999
4277	584	3693
4565	621	3944
4708	625	4083
4507	658	3849
4635	711	3924
4575	637	3938
4941	702	4239
4444	721	3723
4681	677	4004
4768	598	4170
4458	654	3804
4187	615	3572
4826	638	4188
4782	644	4138
4601	651	3950
4615	649	3966
4610	635	3975
4482	626	3856
4638	636	4002
4475	611	3864
4933	666	4267
4476	679	3797
4919	635	4284
4465	573	3892
4810	589	4221
4627	706	3921
4919	657	4262
4603	621	3982
4751	699	4052
4602	673	3929
4596	675	3921
4474	662	3812
4766	665	4101
4896	700	4196
4464	716	3748
4845	735	4110
4462	601	3861
4770	804	3966
4511	633	3878
4761	780	3981
4559	664	3895
4545	699	3846
4628	696	3932
4426	596	3830
4570	689	3881
4784	731	4053
4550	664	3886
4554	634	3920
4429	608	3821
4503	666	3837
4325	596	3729
4567	592	3975
4773	698	4075
4496	630	3866
4444	628	3816
4599	684	3915
4276	564	3712
4575	651	3924
4917	735	4182
4508	639	3869
4793	670	4123
4794	728	4066
4302	630	3672
4785	579	4206
4240	543	3697
4538	593	3945
4571	663	3908
4772	619	4153
4752	764	3988
4650	654	3996
4532	662	3870
4580	656	3924
4220	582	3638
4521	715	3806
4876	679	4197
4576	611	3965
4875	754	4121
4677	660	4017
4437	632	3805
4718	662	4056
5032	586	4446
4712	694	4018
4982	723	4259
4622	702	3920
4764	608	4156
4891	613	4278
4408	686	3722
4930	735	4195
4501	633	3868
4585	637	3948
4799	607	4192
4989	721	4268
4714	703	4011
4513	606	3907
4825	798	4027
4579	691	3888
4614	740	3874
4379	598	3781
4936	651	4285
4417	649	3768
4650	700	3950
4715	660	4055
4934	647	4287
4656	648	4008
4672	661	4011
5152	689	4463
4672	656	4016
5064	770	4294
4850	617	4233
4516	626	3890
4470	547	3923
4770	647	4123
4753	765	3988
4689	676	4013
4928	738	4190
4580	662	3918
4665	633	4032
5077	752	4325
4934	613	4321
4485	701	3784
4739	594	4145
4623	685	3938
4808	647	4161
4477	594	3883
4504	610	3894
4570	637	3933
4346	614	3732
4635	602	4033
4573	641	3932
4652	645	4007
4595	612	3983
4721	725	3996
4571	700	3871
4181	559	3622
4592	775	3817
4863	670	4193
4626	680	3946
4758	652	4106
4850	609	4241
4948	679	4269
5023	732	4291
4901	636	4265
4420	637	3783
4495	612	3883
4577	667	3910
4514	652	3862
4517	718	3799
5019	713	4306
4779	644	4135
4934	624	4310
4735	660	4075
4469	580	3889
4876	660	4216
4387	604	3783
4385	595	3790
4384	723	3661
4541	673	3868
4549	656	3893
4794	716	4078
4778	669	4109
4227	669	3558
4802	682	4120
4822	656	4166
4728	656	4072
4439	688	3751
4530	582	3948
4692	735	3957
4681	700	3981
4477	558	3919
4443	568	3875
4880	713	4167
5129	801	4328
4506	629	3877
4865	619	4246
4408	567	3841
4631	652	3979
4684	667	4017
4795	643	4152
4282	604	3678
4661	658	4003
4528	660	3868
4966	627	4339
4796	669	4127
4939	616	4323
4522	591	3931
4991	628	4363
4965	793	4172
4610	672	3938
4520	644	3876
4777	601	4176
4521	749	3772
4859	721	4138
4532	615	3917
4695	661	4034
4861	641	4220
4721	682	4039
4878	687	4191
4566	691	3875
4584	659	3925
4874	682	4192
5050	656	4394
4604	649	3955
4669	634	4035
4671	630	4041
4562	702	3860
4472	569	3903
4804	689	4115
4700	653	4047
4833	764	4069
4452	648	3804
5155	714	4441
4572	633	3939
4582	663	3919
4617	552	4065
4623	726	3897
4515	653	3862
4444	664	3780
4505	589	3916
4530	601	3929
4479	657	3822
4693	637	4056
4588	685	3903
4876	714	4162
4527	769	3758
4789	726	4063
4387	625	3762
4688	718	3970
4842	674	4168
5021	753	4268
4424	585	3839
4602	584	4018
4884	709	4175
4909	683	4226
4770	706	4064
4886	612	4274
4644	631	4013
4600	600	4000
4667	600	4067
4885	642	4243
4666	688	3978
4580	664	3916
4479	612	3867
4763	725	4038
4604	594	4010
4633	660	3973
4798	645	4153
4748	661	4087
4734	608	4126
4216	617	3599
4863	660	4203
4499	642	3857
4609	711	3898
4650	608	4042
4700	613	4087
4884	763	4121
4804	636	4168
4473	661	3812
4452	654	3798
4739	642	4097
4588	621	3967
4922	602	4320
4564	654	3910
4967	753	4214
4777	687	4090
4625	643	3982
4166	624	3542
4674	655	4019
4606	595	4011
4899	743	4156
4355	637	3718
4526	650	3876
4683	660	4023
4661	649	4012
4508	604	3904
4848	677	4171
4941	681	4260
4658	673	3985
4638	638	4000
4720	621	4099
4820	793	4027
4511	695	3816
4721	621	4100
4849	722	4127
4583	644	3939
5031	651	4380
4568	635	3933
4958	732	4226
4374	623	3751
4877	631	4246
4349	649	3700
4678	679	3999
4861	676	4185
4648	701	3947
4619	569	4050
4615	600	4015
4511	620	3891
4542	612	3930
4604	648	3956
4712	588	4124
4200	664	3536
4444	613	3831
4436	662	3774
4791	586	4205
4785	671	4114
4599	686	3913
4542	602	3940
4440	599	3841
4455	632	3823
4750	658	4092
4857	641	4216
4672	644	4028
4831	678	4153
4646	679	3967
4520	642	3878
4650	669	3981
4587	690	3897
5003	747	4256
4472	597	3875
4984	674	4310
4895	703	4192
4508	649	3859
4513	617	3896
4506	685	3821
4591	603	3988
4818	702	4116
4414	640	3774
4994	750	4244
4579	762	3817
4943	764	4179
4758	657	4101
4924	683	4241
4636	619	4017
4657	622	4035
4294	594	3700
4774	612	4162
4738	621	4117
4646	844	3802
4526	590	3936
4330	701	3629
4841	744	4097
4677	684	3993
4582	607	3975
4641	636	4005
4844	677	4167
4653	659	3994
4791	751	4040
4679	623	4056
4284	626	3658
4633	661	3972
4691	754	3937
4753	648	4105
4566	660	3906
4882	681	4201
4849	681	4168
4463	641	3822
4801	685	4116
4469	657	3812
4752	658	4094
4561	695	3866
4659	667	3992
4725	719	4006
4536	645	3891
4443	640	3803
4760	685	4075
4876	677	4199
4582	585	3997
4647	617	4030
4458	635	3823
4358	681	3677
4838	707	4131
4670	564	4106
4691	711	3980
4613	624	3989
4696	706	3990
4516	629	3887
5538	722	4816
4407	634	3773
4612	697	3915
4937	787	4150
4715	706	4009
5051	708	4343
4894	657	4237
4976	648	4328
4425	671	3754
4387	681	3706
4945	602	4343
4758	687	4071
4538	648	3890
4635	650	3985
4614	736	3878
4304	714	3590
4699	626	4073
4659	622	4037
4510	667	3843
4730	724	4006
4799	685	4114
4646	678	3968
4194	614	3580
4457	619	3838
4791	708	4083
4444	663	3781
4687	596	4091
4592	662	3930
4765	670	4095
4753	603	4150
4975	729	4246
4540	642	3898
4467	696	3771
4407	534	3873
5084	666	4418
4685	673	4012
4584	603	3981
4704	612	4092
4746	737	4009
4881	772	4109
4663	572	4091
4354	544	3810
4894	596	4298
4835	633	4202
4978	622	4356
4398	652	3746
4708	675	4033
4749	621	4128
4539	534	4005
4540	643	3897
4696	637	4059
4214	608	3606
4708	647	4061
4679	693	3986
4384	653	3731
4815	663	4152
4748	658	4090
4479	599	3880
4439	583	3856
4739	705	4034
4675	657	4018
4504	673	3831
4681	666	4015
4722	594	4128
4957	624	4333
4893	605	4288
4443	611	3832
4628	617	4011
4659	590	4069
4459	612	3847
4566	672	3894
4463	657	3806
4916	691	4225
4658	672	3986
4436	611	3825
4571	651	3920
4078	605	3473
4540	585	3955
5104	731	4373
4508	687	3821
4701	716	3985
4529	596	3933
4539	650	3889
4584	579	4005
4648	666	3982
4347	587	3760
4584	741	3843
4863	683	4180
4335	564	3771
4331	618	3713
4777	644	4133
4574	660	3914
4689	611	4078
4642	708	3934
4671	652	4019
4367	630	3737
4414	713	3701
4829	718	4111
4626	625	4001
4587	619	3968
5081	707	4374
5075	654	4421
4798	640	4158
4763	656	4107
4958	735	4223
4870	676	4194
4543	594	3949
4406	587	3819
4439	740	3699
4663	658	4005
4840	617	4223
5035	663	4372
4653	681	3972
5183	657	4526
4651	734	3917
4925	648	4277
4726	718	4008
4782	645	4137
4428	561	3867
5228	723	4505
4645	649	3996
4467	679	3788
4524	630	3894
4714	631	4083
4786	667	4119
5143	718	4425
4603	609	3994
4446	601	3845
4718	667	4051
4737	698	4039
4552	645	3907
4884	663	4221
4508	709	3799
4728	702	4026
4968	619	4349
4732	624	4108
4434	686	3748
4734	633	4101
4544	634	3910
4517	574	3943
4336	560	3776
5145	721	4424
4551	620	3931
4721	648	4073
4781	767	4014
4706	745	3961
5226	757	4469
4667	656	4011
4470	531	3939
4482	708	3774
4486	696	3790
4564	648	3916
4295	565	3730
4194	654	3540
4590	646	3944
4492	666	3826
4822	602	4220
4644	683	3961
4740	658	4082
4451	700	3751
4410	558	3852
4747	660	4087
4906	775	4131
4337	659	3678
4750	663	4087
5137	696	4441
4839	569	4270
4648	666	3982
4801	647	4154
4425	620	3805
4534	646	3888
5025	726	4299
4630	671	3959
4856	648	4208
4653	694	3959
4831	658	4173
4615	596	4019
4726	703	4023
4966	664	4302
4419	654	3765
4832	627	4205
5103	784	4319
4946	739	4207
4178	663	3515
4772	689	4083
4683	632	4051
4312	637	3675
4606	611	3995
4551	604	3947
4591	571	4020
4711	651	4060
4409	607	3802
4616	690	3926
4682	600	4082
5214	725	4489
4731	622	4109
4499	727	3772
4395	659	3736
4728	672	4056
4430	648	3782
4607	684	3923
4550	633	3917
4925	718	4207
4217	625	3592
4061	570	3491
4665	682	3983
4677	793	3884
4368	607	3761
4747	629	4118
4734	686	4048
4326	648	3678
4119	585	3534
4720	722	3998
4659	700	3959
4471	620	3851
4792	633	4159
4429	663	3766
4630	617	4013
4794	747	4047
4796	645	4151
4759	703	4056
4848	624	4224
4228	584	3644
4146	618	3528
4129	633	3496
4827	700	4127
5062	701	4361
4949	752	4197
4528	621	3907
4727	644	4083
4556	728	3828
4848	719	4129
4596	643	3953
4606	621	3985
4663	611	4052
4565	629	3936
4878	599	4279
4495	539	3956
4579	633	3946
4987	663	4324
4577	577	4000
4598	605	3993
4880	703	4177
4894	699	4195
4690	694	3996
4534	563	3971
4599	626	3973
4651	669	3982
5102	706	4396
4317	669	3648
4372	606	3766
4718	667	4051
4594	662	3932
4855	733	4122
4793	718	4075
4736	601	4135
4494	707	3787
4469	578	3891
4863	715	4148
4697	727	3970
4635	692	3943
4771	729	4042
4831	748	4083
4612	588	4024
4542	605	3937
4821	671	4150
5049	738	4311
5138	735	4403
4022	540	3482
4591	702	3889
4617	678	3939
4430	648	3782
4781	632	4149
4698	679	4019
4486	630	3856
4600	658	3942
4800	645	4155
4818	618	4200
4812	641	4171
4805	677	4128
4375	592	3783
4532	654	3878
4845	631	4214
4772	659	4113
4572	606	3966
4806	628	4178
4684	653	4031
5035	718	4317
4707	701	4006
4595	666	3929
4799	727	4072
4945	655	4290
4460	641	3819
4672	651	4021
4673	632	4041
4517	562	3955
4709	675	4034
4786	673	4113
4694	656	4038
4855	691	4164
4453	589	3864
4563	686	3877
4616	584	4032
5074	757	4317
4711	716	3995
4444	582	3862
4726	661	4065
4723	607	4116
4882	654	4228
4700	561	4139
4754	657	4097
4584	692	3892
4683	629	4054
4548	614	3934
4430	688	3742
4818	684	4134
4442	618	3824
4666	664	4002
4782	657	4125
4888	749	4139
5056	688	4368
4881	716	4165
4403	602	3801
4872	614	4258
4662	644	4018
4890	604	4286
4762	711	4051
4743	662	4081
4685	685	4000
4206	586	3620
4666	586	4080
4954	624	4330
4707	675	4032
4548	635	3913
4402	656	3746
4490	617	3873
4954	689	4265
4864	716	4148
4760	652	4108
5049	671	4378
4295	605	3690
4755	619	4136
4296	612	3684
4831	630	4201
4730	648	4082
4774	678	4096
4983	689	4294
4832	661	4171
4858	758	4100
4825	735	4090
4242	584	3658
4424	589	3835
4785	750	4035
4526	627	3899
4675	620	4055
4400	693	3707
4842	627	4215
4582	662	3920
4505	636	3869
4623	711	3912
4908	751	4157
4332	608	3724
4614	689	3925
4569	637	3932
4487	725	3762
4668	637	4031
4601	680	3921
4370	617	3753
4607	604	4003
4619	662	3957
4516	651	3865
4623	659	3964
4731	640	4091
4891	671	4220
4771	638	4133
4488	683	3805
4795	726	4069
5032	627	4405
4697	641	4056
4683	729	3954
4684	761	3923
4651	695	3956
4628	748	3880
4950	729	4221
4774	643	4131
4523	556	3967
5127	665	4462
4453	605	3848
4639	691	3948
4218	685	3533
4798	662	4136
4653	709	3944
5036	752	4284
4722	591	4131
4699	651	4048
4293	635	3658
4917	632	4285
5022	781	4241
4672	617	4055
4274	539	3735
4690	605	4085
4590	639	3951
4621	714	3907
4979	716	4263
4755	646	4109
4713	646	4067
4563	572	3991
4576	629	3947
4530	628	3902
4907	740	4167
4902	617	4285
4658	691	3967
4600	637	3963
4618	622	3996
4810	684	4126
4702	665	4037
4618	699	3919
4697	653	4044
4531	600	3931
4573	652	3921
4835	638	4197
4603	605	3998
4939	697	4242
4424	675	3749
4578	686	3892
4595	713	3882
4925	721	4204
4400	518	3882
4603	638	3965
4838	682	4156
4660	665	3995
4851	684	4167
4567	593	3974
4493	694	3799
4555	646	3909
4800	686	4114
4815	637	4178
4602	654	3948
4700	622	4078
4883	627	4256
4867	713	4154
4567	552	4015
5017	717	4300
4555	687	3868
4563	649	3914
4385	613	3772
4663	664	3999
5029	744	4285
4699	665	4034
4684	650	4034
4369	681	3688
4895	631	4264
4809	747	4062
4833	660	4173
4638	687	3951
4911	685	4226
4623	600	4023
4555	681	3874
4928	608	4320
5299	732	4567
4381	637	3744
4634	694	3940
4564	655	3909
4458	573	3885
4669	704	3965
5004	732	4272
4766	647	4119
4649	743	3906
5184	764	4420
4656	664	3992
4968	676	4292
4598	641	3957
4725	625	4100
4919	732	4187
5105	662	4443
4538	665	3873
4918	695	4223
4634	710	3924
4695	599	4096
4591	573	4018
4617	651	3966
4423	662	3761
4853	759	4094
4661	665	3996
4392	692	3700
4544	732	3812
4807	670	4137
4577	634	3943
4696	728	3968
4859	698	4161
4530	669	3861
4865	707	4158
4616	662	3954
4976	683	4293
4617	676	3941
4777	652	4125
4255	555	3700
4442	644	3798
4494	617	3877
4803	673	4130
4789	735	4054
4687	647	4040
4819	713	4106
4579	618	3961
4856	672	4184
4814	697	4117
4660	683	3977
4905	641	4264
4758	625	4133
4635	691	3944
4332	633	3699
4813	709	4104
4324	595	3729
4484	635	3849
4684	693	3991
4615	650	3965
4373	694	3679
4598	623	3975
4466	681	3785
4646	658	3988
4632	636	3996
4864	618	4246
5042	711	4331
4828	655	4173
4498	730	3768
4700	640	4060
4463	629	3834
4386	674	3712
4584	715	3869
4894	645	4249
4883	661	4222
5005	716	4289
4774	655	4119
4877	639	4238
4575	643	3932
5027	744	4283
4617	656	3961
4346	599	3747
4816	687	4129
4653	585	4068
4731	623	4108
4718	617	4101
4416	611	3805
4645	605	4040
4548	606	3942
4586	658	3928
4555	605	3950
4674	667	4007
4928	679	4249
4900	702	4198
4589	657	3932
5014	685	4329
4833	718	4115
4814	637	4177
4565	678	3887
4945	658	4287
4676	639	4037
4502	665	3837
4640	678	3962
4765	638	4127
4984	661	4323
4355	672	3683
4853	686	4167
4542	667	3875
4699	630	4069
4785	712	4073
4434	657	3777
4569	673	3896
4388	687	3701
4822	769	4053
4516	657	3859
4640	596	4044
4499	572	3927
4342	694	3648
4300	650	3650
4672	689	3983
4863	691	4172
4358	602	3756
4833	665	4168
5035	669	4366
4662	665	3997
4447	580	3867
4620	662	3958
4746	650	4096
4735	624	4111
4858	714	4144
5154	699	4455
4905	716	4189
4786	700	4086
4684	655	4029
4852	745	4107
5001	795	4206
4639	643	3996
4095	576	3519
4299	638	3661
4439	626	3813
4885	682	4203
4848	712	4136
4575	621	3954
4455	521	3934
4296	599	3697
4671	706	3965
5078	821	4257
4997	678	4319
4628	680	3948
4646	635	4011
4664	685	3979
4656	726	3930
4447	678	3769
4876	653	4223
4624	718	3906
4570	701	3869
4664	661	4003
4663	745	3918
4939	645	4294
4512	623	3889
4628	636	3992
4458	699	3759
4975	712	4263
4587	639	3948
4919	755	4164
4996	712	4284
4543	741	3802
4672	710	3962
4577	631	3946
4806	698	4108
4542	602	3940
4859	665	4194
4732	688	4044
5003	720	4283
4654	707	3947
4812	697	4115
4741	676	4065
4605	581	4024
4714	665	4049
4504	614	3890
4418	628	3790
4683	742	3941
4464	634	3830
4616	679	3937
4612	675	3937
4685	667	4018
4780	642	4138
4235	613	3622
4795	684	4111
4897	653	4244
4630	663	3967
4481	597	3884
4678	669	4009
4881	590	4291
4695	598	4097
4347	636	3711
4581	678	3903
4775	715	4060
4510	636	3874
4733	689	4044
4554	696	3858
4874	686	4188
4851	697	4154
4597	604	3993
4617	606	4011
5232	738	4494
4440	605	3835
4710	695	4015
4894	640	4254
4570	664	3906
4879	739	4140
4672	608	4064
4497	688	3809
4650	636	4014
4124	601	3523
4646	685	3961
4735	641	4094
4466	648	3818
4667	692	3975
4543	664	3879
4613	707	3906
4718	668	4050
4811	635	4176
4975	642	4333
4863	598	4265
4657	589	4068
4556	623	3933
4668	721	3947
4803	662	4141
4731	663	4068
4131	560	3571
4803	706	4097
4599	550	4049
4886	703	4183
4655	653	4002
4716	651	4065
4540	635	3905
4797	641	4156
4706	675	4031
4839	731	4108
4662	591	4071
4624	694	3930
4286	672	3614
4416	576	3840
4741	564	4177
4754	679	4075
4540	608	3932
4632	637	3995
4925	665	4260
4787	696	4091
4601	640	3961
4728	657	4071
4656	622	4034
4774	666	4108
4788	635	4153
4908	698	4210
4758	725	4033
4620	645	3975
4361	606	3755
4896	761	4135
4828	700	4128
4714	688	4026
4885	625	4260
4594	607	3987
4686	655	4031
5002	740	4262
4803	746	4057
5032	698	4334
4820	712	4108
4244	688	3556
4876	782	4094
4603	638	3965
4876	711	4165
4657	661	3996
4452	640	3812
4727	517	4210
5064	676	4388
4488	627	3861
4704	641	4063
4791	682	4109
4796	710	4086
4734	648	4086
4561	684	3877
4624	697	3927
4513	705	3808
4477	602	3875
4936	690	4246
4664	693	3971
4496	719	3777
4632	606	4026
5008	682	4326
4414	622	3792
4793	743	4050
5020	665	4355
4602	650	3952
4524	588	3936
4587	638	3949
4877	678	4199
5442	751	4691
5112	675	4437
4723	627	4096
4400	561	3839
4487	599	3888
4325	642	3683
4688	668	4020
4461	602	3859
5116	780	4336
4879	655	4224
4792	705	4087
4494	568	3926
4696	690	4006
4498	632	3866
4113	542	3571
4370	654	3716
4625	585	4040
4648	609	4039
4648	634	4014
4767	733	4034
4698	689	4009
4820	724	4096
4976	695	4281
4799	687	4112
4851	648	4203
4889	686	4203
4873	699	4174
4880	766	4114
4845	659	4186
4284	594	3690
4737	672	4065
4313	547	3766
4481	702	3779
5000	689	4311
4661	681	3980
4836	699	4137
4560	675	3885
4438	719	3719
4676	649	4027
4561	614	3947
4513	599	3914
4728	645	4083
5055	767	4288
4777	677	4100
4586	685	3901
4387	618	3769
5082	660	4422
5030	711	4319
4435	626	3809
4423	560	3863
4369	610	3759
4608	637	3971
4541	589	3952
4658	650	4008
4722	613	4109
4678	648	4030
4369	686	3683
4705	705	4000
4319	631	3688
4712	708	4004
4581	633	3948
4630	725	3905
4641	701	3940
4407	667	3740
4965	739	4226
4592	584	4008
4863	697	4166
5149	650	4499
4552	689	3863
5169	708	4461
4653	585	4068
4465	631	3834
4679	641	4038
4393	607	3786
4469	625	3844
4854	702	4152
4934	747	4187
4746	630	4116
4580	675	3905
4546	698	3848
4738	679	4059
4655	724	3931
5023	657	4366
4549	671	3878
4734	631	4103
4499	682	3817
4474	561	3913
4516	606	3910
4668	689	3979
4874	707	4167
4550	712	3838
4602	652	3950
4593	663	3930
4772	627	4145
4053	573	3480
4619	658	3961
4576	600	3976
4549	647	3902
5034	671	4363
4614	685	3929
4718	622	4096
4981	678	4303
4841	684	4157
4667	649	4018
4173	642	3531
4745	619	4126
4525	583	3942
4570	594	3976
4894	649	4245
4813	665	4148
4474	638	3836
4780	691	4089
4797	681	4116
4903	674	4229
4436	644	3792
4412	622	3790
4734	674	4060
4641	718	3923
4753	604	4149
5104	612	4492
4620	688	3932
4521	712	3809
4401	594	3807
4368	605	3763
4651	670	3981
4686	643	4043
4703	660	4043
4604	635	3969
4437	663	3774
4654	718	3936
4786	623	4163
4634	684	3950
4988	697	4291
5027	773	4254
4704	630	4074
4821	617	4204
4532	679	3853
5019	716	4303
4513	689	3824
4685	613	4072
4678	670	4008
4832	664	4168
4759	703	4056
4834	721	4113
4820	731	4089
4747	704	4043
4749	586	4163
4983	689	4294
4644	655	3989
4781	738	4043
4611	631	3980
4668	690	3978
4748	670	4078
4547	667	3880
5010	727	4283
4197	629	3568
4640	669	3971
4937	711	4226
4302	624	3678
4871	732	4139
4745	712	4033
5263	766	4497
4789	640	4149
4583	613	3970
4637	644	3993
5038	693	4345
4985	647	4338
4911	747	4164
4767	595	4172
4807	636	4171
4930	694	4236
4655	672	3983
4723	745	3978
4397	666	3731
4506	690	3816
4679	636	4043
4193	653	3540
4877	571	4306
4331	707	3624
4539	611	3928
4681	587	4094
4708	631	4077
4631	658	3973
4589	664	3925
4986	693	4293
4831	769	4062
4239	553	3686
4132	605	3527
4728	688	4040
5058	689	4369
4990	653	4337
4594	631	3963
4778	689	4089
4886	663	4223
4568	628	3940
4913	672	4241
4464	603	3861
4602	637	3965
4731	613	4118
4309	714	3595
4778	693	4085
4631	721	3910
4639	704	3935
4673	686	3987
4686	715	3971
4768	767	4001
4855	613	4242
4517	594	3923
4715	619	4096
4378	687	3691
4626	670	3956
4638	694	3944
4572	696	3876
4690	616	4074
4734	661	4073
5253	688	4565
4520	600	3920
4829	736	4093
4941	709	4232
4483	649	3834
4729	667	4062
4645	582	4063
4781	675	4106
5009	670	4339
4573	604	3969
4969	692	4277
4586	566	4020
4641	590	4051
4968	721	4247
4493	700	3793
4663	625	4038
4636	630	4006
4617	661	3956
4818	683	4135
4703	646	4057
4798	743	4055
4761	692	4069
